
order_id,order_date,region,product,category,quantity,unit_price
1001,2023-01-15,North America,Laptop,Electronics,2,1200
1002,2023-01-18,Europe,Smartphone,Electronics,5,800
1003,2023-02-02,Asia,Headphones,Accessories,10,150
1004,2023-02-10,North America,Monitor,Electronics,3,300
1005,2023-03-05,South America,Keyboard,Accessories,7,100
1006,2023-03-15,Europe,Laptop,Electronics,1,1200
1007,2023-04-01,Asia,Smartphone,Electronics,4,800
1008,2023-04-12,Africa,Tablet,Electronics,6,500
1009,2023-05-03,North America,Headphones,Accessories,8,150
1010,2023-05-20,Europe,Monitor,Electronics,2,300
1011,2023-06-11,Asia,Keyboard,Accessories,5,100
1012,2023-06-25,Oceania,Laptop,Electronics,1,1200
